2026-01-07 18:11:19,454 INFO    MainThread:23392 [wandb_setup.py:_flush():80] Current SDK version is 0.23.1
2026-01-07 18:11:19,455 INFO    MainThread:23392 [wandb_setup.py:_flush():80] Configure stats pid to 23392
2026-01-07 18:11:19,455 INFO    MainThread:23392 [wandb_setup.py:_flush():80] Loading settings from /home/shashank/.config/wandb/settings
2026-01-07 18:11:19,455 INFO    MainThread:23392 [wandb_setup.py:_flush():80] Loading settings from /home/shashank/Documents/UniBonn/grad/superpoint_pytorch/wandb/settings
2026-01-07 18:11:19,455 INFO    MainThread:23392 [wandb_setup.py:_flush():80] Loading settings from environment variables
2026-01-07 18:11:19,455 INFO    MainThread:23392 [wandb_init.py:setup_run_log_directory():714] Logging user logs to /home/shashank/Documents/UniBonn/grad/superpoint_pytorch/wandb/run-20260107_181119-loaakovi/logs/debug.log
2026-01-07 18:11:19,455 INFO    MainThread:23392 [wandb_init.py:setup_run_log_directory():715] Logging internal logs to /home/shashank/Documents/UniBonn/grad/superpoint_pytorch/wandb/run-20260107_181119-loaakovi/logs/debug-internal.log
2026-01-07 18:11:19,455 INFO    MainThread:23392 [wandb_init.py:init():841] calling init triggers
2026-01-07 18:11:19,455 INFO    MainThread:23392 [wandb_init.py:init():846] wandb.init called with sweep_config: {}
config: {'lr': 0.001, 'batch_size': 32, 'epochs': 20, 'height': 240, 'width': 320, 'n_shapes': 8, 'quality_level': 0.01, 'architecture': 'MagicPoint-VGG', '_wandb': {}}
2026-01-07 18:11:19,455 INFO    MainThread:23392 [wandb_init.py:init():889] starting backend
2026-01-07 18:11:19,673 INFO    MainThread:23392 [wandb_init.py:init():892] sending inform_init request
2026-01-07 18:11:19,682 INFO    MainThread:23392 [wandb_init.py:init():900] backend started and connected
2026-01-07 18:11:19,691 INFO    MainThread:23392 [wandb_init.py:init():970] updated telemetry
2026-01-07 18:11:19,695 INFO    MainThread:23392 [wandb_init.py:init():994] communicating run to backend with 90.0 second timeout
2026-01-07 18:11:20,386 INFO    MainThread:23392 [wandb_init.py:init():1041] starting run threads in backend
2026-01-07 18:11:20,426 INFO    MainThread:23392 [wandb_run.py:_console_start():2521] atexit reg
2026-01-07 18:11:20,426 INFO    MainThread:23392 [wandb_run.py:_redirect():2369] redirect: wrap_raw
2026-01-07 18:11:20,426 INFO    MainThread:23392 [wandb_run.py:_redirect():2438] Wrapping output streams.
2026-01-07 18:11:20,426 INFO    MainThread:23392 [wandb_run.py:_redirect():2461] Redirects installed.
2026-01-07 18:11:20,429 INFO    MainThread:23392 [wandb_init.py:init():1081] run started, returning control to user process
2026-01-07 18:11:25,759 INFO    wandb-AsyncioManager-main:23392 [service_client.py:_forward_responses():80] Reached EOF.
2026-01-07 18:11:25,759 INFO    wandb-AsyncioManager-main:23392 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
